No.,TP,Time,Reactor,Condition,Group,Cell Line,Type,Date Isolated,Tube Label,A260/280,Tapestation Concentration,DIN
36,32,240,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 240H E16,1.854,27.6,9.9
98,32,240,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 240H E18,1.863,33.2,9.9
100,32,240,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 240H E20,1.843,36.7,9.9
37,35,264,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 264H E13,1.868,41.7,9.9
39,35,264,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 264H E15,1.86,56.7,9.9
101,35,264,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 264H E17,1.865,38.2,9.9
103,35,264,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 264H E19,1.852,66.2,9.9
38,35,264,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 264H E14,1.86,48,9.9
40,35,264,E16,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 264H E16,1.845,40,9.9
102,35,264,E18,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 264H E18,1.851,40.5,9.9
104,35,264,E20,Temp. Shifted,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 264H E20,1.831,44.2,9.9
41,39,288,E13,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 288H E13,1.872,55.2,9.9
43,39,288,E15,Constant,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 288H E15,1.87,50,9.9
105,39,288,E17,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 288H E17,1.833,31.4,9.9
107,39,288,E19,Constant,CharRun2,NISTCHO,1x10^6 cells,2024-11-14,NIST CHO CHARRUN2 288H E19,1.849,42.8,9.9
42,39,288,E14,Temp. Shifted,CharRun1,NISTCHO,1x10^6 cells,2024-11-05,NIST CHO BR24 288H E14,1.858,42.1,9.9
